Stock,Date,Open,High,Low,Close,Adj Close,Volume
AMZN,7/1/2015,439.35,580.57,425.57,536.15,536.15,102070000
AMZN,8/1/2015,537.45,542.74,451.00,512.89,512.89,82863200
AMZN,9/1/2015,499.14,549.78,490.50,511.89,511.89,76768900
AMZN,10/1/2015,511.00,630.72,506.00,625.90,625.90,97126100
AMZN,11/1/2015,627.13,682.77,620.41,664.80,664.80,87304900
AMZN,12/1/2015,673.75,696.44,635.27,675.89,675.89,90187500
AMZN,1/1/2016,656.29,657.72,547.18,587.00,587.00,130200900
AMZN,2/1/2016,578.15,581.80,474.00,552.52,552.52,124144800
AMZN,3/1/2016,556.29,603.24,538.58,593.64,593.64,94009500
AMZN,4/1/2016,590.49,669.98,585.25,659.59,659.59,78464200
AMZN,5/1/2016,663.92,724.23,656.00,722.79,722.79,90614500
AMZN,6/1/2016,720.90,731.50,682.12,715.62,715.62,74540900
AMZN,7/1/2016,717.32,766.00,716.54,758.81,758.81,68635500
AMZN,8/1/2016,759.87,774.98,750.35,769.16,769.16,50000400
AMZN,9/1/2016,770.90,839.95,756.00,837.31,837.31,67335700
AMZN,10/1/2016,836.00,847.21,774.61,789.82,789.82,77063800
AMZN,11/1/2016,799.00,800.84,710.10,750.57,750.57,110085900
AMZN,12/1/2016,752.41,782.46,736.70,749.87,749.87,73660200
AMZN,1/1/2017,757.92,843.84,747.70,823.48,823.48,70614000
AMZN,2/1/2017,829.21,860.86,803.00,845.04,845.04,71748300
AMZN,3/1/2017,853.05,890.35,833.50,886.54,886.54,60710700
AMZN,4/1/2017,888.00,949.59,884.49,924.99,924.99,73539700
AMZN,5/1/2017,927.80,1001.20,927.80,994.62,994.62,76202000
AMZN,6/1/2017,998.59,1017.00,927.00,968.00,968.00,96135400
AMZN,7/1/2017,972.79,1083.31,951.00,987.78,987.78,78812400
AMZN,8/1/2017,996.11,1006.40,936.33,980.60,980.60,77391800
AMZN,9/1/2017,984.20,1000.00,931.75,961.35,961.35,59291800
AMZN,10/1/2017,964.00,1122.79,950.37,1105.28,1105.28,83334100
AMZN,11/1/2017,1105.40,1213.41,1086.87,1176.75,1176.75,77165000
AMZN,12/1/2017,1172.05,1194.78,1124.74,1169.47,1169.47,57760200
